Name,Major,Age,Contact,,,,,,
Jake,Math,22,jake@wsu.edu,MATH 220,MATH 171,MATH 201,MATH 273,MATH 315,
Sam ,Bio ,19,samdockery@wsu.edu,,BIO 101,BIO 105,BIO 106,ANIMAL SCIENCE 205,ANTH 260
Ryan,Computer Science,30,Ryan.d@wsu.edu,,CPTS 121,CPTS 122,CPTS 223,MATH 171,MATH 172
Derrick,Animal Science,12,derrick@wsu.edu,ANIMAL SCIENCE 172,ANIMAL SCIENCE 313,ANIMAL SCIENCE 378,ANIMAL SCIENCE 460,ANIMAL SCIENCE 473,ANIMAL SCIENCE 495
John,Electrical Engineer,18,johnwall@wsu.edu,MATH 171,HISTORY 105,ENGLISH108,FOR LANG 101,,
Lebron ,Diversity/Arts,38,Lebronjames@wsu.edu,WGSS 101,SPANISH 321,CES 101,,,
Luke,Chem,26,Luke.a@wsu.edu,CHEM 105,CHEM 106,CHEM 222,CHEM 345,CHEM 347,CHEM 348
Cooper,Econ,28,cooper.kupp@wsu.edu,ECON 101,ECON 202,MATH 105,PHIL 201,,
Nicky,Comm,31,nicky.minaj@wsu.edu,COM 102,COM 210,COM 400,ENGLISH 106,,
Hubert,Molecular Bio,24,hubert@wsu.edu,MBIOS 301,MBIOS 101,MBIOS 401,MBIOS 423,MBIOS 440,MBIO 460
Jack,German,20,Jackson@wsu.edu,GERMAN 101,GERMAN 102,GERMAN 105,GERMAN 204,GERMAN 361,GERMAN 499
Snoop,Physical Science,18,snoop.dog@wsu.edu,PHYSICS 101,PHYSICS 111,PHYSICS 137,PHYSICS 150,,
Matt,Materials Science,18,matt@wsu.edu,MATSE 513,MATSE 571,MATSE 593,MATSE 800,,
Grant,Bio engineering,300,grant@wsu.edu,BIO_ENG 140,BIO_ENG 330,BIO_ENG 425,BIO_ENG 456,BIO_ENG 550,
Butch,SOE,18,butch.cougar@wsu.edu,SOE 101,SOE 103,SOE 105,SOE 210,SOE 230,
